Customer Order No,Line No,Order Date,Order Details,Project No,Project Element,Division Code,Confirmed Delivery Date 1,Requested Delivery Date 1,Currency Code,Salesperson,Customer Order Type,Ord Line Status,Line Suffix,Alsis Code,Customer Order Line No,Salesperson Name
0000059724,11,3/10/2011,Ord:0000059724- Line:11   ,       ,        ,P3A,3/10/2011,3/10/2011,   ,4101,QUO,05,0,     ,0000059724110,EPS
0000059724,12,3/10/2011,Ord:0000059724- Line:12   ,       ,        ,P3A,3/10/2011,3/10/2011,   ,4101,QUO,05,0,     ,0000059724120,EPS
0000059724,14,3/10/2011,Ord:0000059724- Line:14   ,       ,        ,P3A,3/10/2011,3/10/2011,   ,4101,QUO,05,0,     ,0000059724140,EPS
0000059724,15,3/10/2011,Ord:0000059724- Line:15   ,       ,        ,P3A,3/10/2011,3/10/2011,   ,4101,QUO,05,0,     ,0000059724150,EPS
0000059724,16,3/10/2011,Ord:0000059724- Line:16   ,       ,        ,P3A,3/10/2011,3/10/2011,   ,4101,QUO,05,0,     ,0000059724160,EPS
0000059724,17,3/10/2011,Ord:0000059724- Line:17   ,       ,        ,P3A,3/10/2011,3/10/2011,   ,4101,QUO,05,0,     ,0000059724170,EPS
0000059724,18,3/10/2011,Ord:0000059724- Line:18   ,       ,        ,P3A,3/10/2011,3/10/2011,   ,4101,QUO,05,0,     ,0000059724180,EPS
0000059724,19,3/10/2011,Ord:0000059724- Line:19   ,       ,        ,P3A,3/10/2011,3/10/2011,   ,4101,QUO,05,0,     ,0000059724190,EPS
0000059724,20,3/10/2011,Ord:0000059724- Line:20   ,       ,        ,P3A,3/10/2011,3/10/2011,   ,4101,QUO,05,0,     ,0000059724200,EPS
0000059724,21,3/10/2011,Ord:0000059724- Line:21   ,       ,        ,P3A,3/10/2011,3/10/2011,   ,4101,QUO,05,0,     ,0000059724210,EPS
0000059724,22,3/10/2011,Ord:0000059724- Line:22   ,       ,        ,P3A,3/10/2011,3/10/2011,   ,4101,QUO,05,0,     ,0000059724220,EPS
0000059724,23,3/10/2011,Ord:0000059724- Line:23   ,       ,        ,P3A,5/9/2011,3/10/2011,   ,4101,QUO,05,0,     ,0000059724230,EPS
0000059724,24,3/10/2011,Ord:0000059724- Line:24   ,       ,        ,P3A,3/10/2011,3/10/2011,   ,4101,QUO,05,0,     ,0000059724240,EPS
0000059724,25,3/10/2011,Ord:0000059724- Line:25   ,       ,        ,P3A,3/10/2011,3/10/2011,   ,4101,QUO,05,0,     ,0000059724250,EPS
0000059724,26,3/10/2011,Ord:0000059724- Line:26   ,       ,        ,P3A,3/10/2011,3/10/2011,   ,4101,QUO,05,0,     ,0000059724260,EPS
0000059724,28,3/10/2011,Ord:0000059724- Line:28   ,       ,        ,P3A,3/10/2011,3/10/2011,   ,4101,QUO,05,0,     ,0000059724280,EPS
0000059724,29,3/10/2011,Ord:0000059724- Line:29   ,       ,        ,P3A,3/10/2011,3/10/2011,   ,4101,QUO,05,0,     ,0000059724290,EPS
0000060918,1,4/6/2011,Ord:0000060918- Line:1    ,       ,        ,P3A,4/6/2011,4/6/2011,   ,4101,QUO,05,0,     ,000006091810,EPS
0000060918,2,4/6/2011,Ord:0000060918- Line:2    ,       ,        ,P3A,4/6/2011,4/6/2011,   ,4101,QUO,05,0,     ,000006091820,EPS
0000061409,1,4/15/2011,Ord:0000061409- Line:1    ,       ,        ,P3A,6/25/2011,5/27/2011,   ,5900,QUO,05,0,1976 ,000006140910,SANITARY EQUIPMENT ( EXCL. FLOW )
0000061409,2,4/15/2011,Ord:0000061409- Line:2    ,       ,        ,P3A,6/25/2011,6/1/2011,   ,5900,QUO,05,0,     ,000006140920,SANITARY EQUIPMENT ( EXCL. FLOW )
0000061409,3,4/15/2011,Ord:0000061409- Line:3    ,       ,        ,P3A,6/25/2011,6/2/2011,   ,5900,QUO,05,0,     ,000006140930,SANITARY EQUIPMENT ( EXCL. FLOW )
0000061409,4,4/15/2011,Ord:0000061409- Line:4    ,       ,        ,P3A,6/25/2011,6/2/2011,   ,5900,QUO,05,0,     ,000006140940,SANITARY EQUIPMENT ( EXCL. FLOW )
0000062138,1,4/29/2011,Ord:0000062138- Line:1    ,       ,        ,P3A,6/10/2011,6/10/2011,   ,5900,QUO,05,0,1976 ,000006213810,SANITARY EQUIPMENT ( EXCL. FLOW )
0000062148,1,4/29/2011,Ord:0000062148- Line:1    ,       ,        ,P3A,6/10/2011,6/10/2011,   ,5900,QUO,05,0,1976 ,000006214810,SANITARY EQUIPMENT ( EXCL. FLOW )
0000062445,1,5/6/2011,Ord:0000062445- Line:1    ,       ,        ,P3A,6/17/2011,6/17/2011,   ,5900,QUO,05,0,1976 ,000006244510,SANITARY EQUIPMENT ( EXCL. FLOW )
0000062681,1,5/11/2011,Ord:0000062681- Line:1    ,       ,        ,P3A,5/31/2011,5/11/2011,   ,5900,QUO,05,0,1976 ,000006268110,SANITARY EQUIPMENT ( EXCL. FLOW )
0000063019,1,5/18/2011,Ord:0000063019- Line:1    ,       ,        ,P3A,6/29/2011,6/29/2011,   ,5900,QUO,05,0,     ,000006301910,SANITARY EQUIPMENT ( EXCL. FLOW )
0000063019,2,5/18/2011,Ord:0000063019- Line:2    ,       ,        ,P3A,6/29/2011,6/29/2011,   ,5900,QUO,05,0,     ,000006301920,SANITARY EQUIPMENT ( EXCL. FLOW )
0000063410,1,5/25/2011,Ord:0000063410- Line:1    ,       ,        ,P3A,7/8/2011,5/25/2011,   ,4103,QUO,05,0,     ,000006341010,EPS-Marine & Diesel
0000063410,2,5/25/2011,Ord:0000063410- Line:2    ,       ,        ,P3A,8/2/2011,5/25/2011,   ,4103,QUO,05,0,     ,000006341020,EPS-Marine & Diesel
0000063412,1,5/25/2011,Ord:0000063412- Line:1    ,       ,        ,P3A,5/25/2011,5/25/2011,   ,4103,QUO,05,0,     ,000006341210,EPS-Marine & Diesel
0000063412,2,5/25/2011,Ord:0000063412- Line:2    ,       ,        ,P3A,5/25/2011,5/25/2011,   ,4103,QUO,05,0,     ,000006341220,EPS-Marine & Diesel
0000063412,3,5/25/2011,Ord:0000063412- Line:3    ,       ,        ,P3A,6/30/2011,5/25/2011,   ,4103,QUO,05,0,     ,000006341230,EPS-Marine & Diesel
0000063412,4,5/25/2011,Ord:0000063412- Line:4    ,       ,        ,P3A,7/28/2011,5/25/2011,   ,4103,QUO,05,0,     ,000006341240,EPS-Marine & Diesel
0000063414,1,5/25/2011,Ord:0000063414- Line:1    ,       ,        ,P3A,5/25/2011,5/25/2011,   ,4101,QUO,05,0,     ,000006341410,EPS
0000063414,2,5/25/2011,Ord:0000063414- Line:2    ,       ,        ,P3A,5/25/2011,5/25/2011,   ,4101,QUO,05,0,     ,000006341420,EPS
0000063414,3,5/25/2011,Ord:0000063414- Line:3    ,       ,        ,P3A,6/30/2011,5/25/2011,   ,4101,QUO,05,0,     ,000006341430,EPS
0000063414,4,5/25/2011,Ord:0000063414- Line:4    ,       ,        ,P3A,7/28/2011,5/25/2011,   ,4101,QUO,05,0,     ,000006341440,EPS
0000063416,1,5/25/2011,Ord:0000063416- Line:1    ,       ,        ,P3A,6/15/2011,5/25/2011,   ,4103,QUO,05,0,     ,000006341610,EPS-Marine & Diesel
0000063416,2,5/25/2011,Ord:0000063416- Line:2    ,       ,        ,P3A,5/25/2011,5/25/2011,   ,4103,QUO,05,0,     ,000006341620,EPS-Marine & Diesel
0000063416,3,5/25/2011,Ord:0000063416- Line:3    ,       ,        ,P3A,7/11/2011,5/25/2011,   ,4103,QUO,05,0,     ,000006341630,EPS-Marine & Diesel
0000063416,4,5/25/2011,Ord:0000063416- Line:4    ,       ,        ,P3A,6/15/2011,5/25/2011,   ,4103,QUO,05,0,     ,000006341640,EPS-Marine & Diesel
0000063416,5,5/25/2011,Ord:0000063416- Line:5    ,       ,        ,P3A,6/15/2011,5/25/2011,   ,4103,QUO,05,0,     ,000006341650,EPS-Marine & Diesel
0000063417,1,5/25/2011,Ord:0000063417- Line:1    ,       ,        ,P3A,6/15/2011,5/25/2011,   ,4101,QUO,05,0,     ,000006341710,EPS
0000063417,2,5/25/2011,Ord:0000063417- Line:2    ,       ,        ,P3A,5/25/2011,5/25/2011,   ,4101,QUO,05,0,     ,000006341720,EPS
0000063417,3,5/25/2011,Ord:0000063417- Line:3    ,       ,        ,P3A,7/11/2011,5/25/2011,   ,4101,QUO,05,0,     ,000006341730,EPS
0000063417,4,5/25/2011,Ord:0000063417- Line:4    ,       ,        ,P3A,6/15/2011,5/25/2011,   ,4101,QUO,05,0,     ,000006341740,EPS
0000063417,5,5/25/2011,Ord:0000063417- Line:5    ,       ,        ,P3A,6/15/2011,5/25/2011,   ,4101,QUO,05,0,     ,000006341750,EPS
0000063597,1,5/30/2011,Ord:0000063597- Line:1    ,       ,        ,P3A,5/30/2011,5/30/2011,   ,5900,QUO,05,0,     ,000006359710,SANITARY EQUIPMENT ( EXCL. FLOW )
0000063597,2,5/30/2011,Ord:0000063597- Line:2    ,       ,        ,P3A,5/30/2011,5/30/2011,   ,5900,QUO,05,0,     ,000006359720,SANITARY EQUIPMENT ( EXCL. FLOW )
0000063597,3,5/30/2011,Ord:0000063597- Line:3    ,       ,        ,P3A,5/30/2011,5/30/2011,   ,5900,QUO,05,0,     ,000006359730,SANITARY EQUIPMENT ( EXCL. FLOW )
0000063597,4,5/30/2011,Ord:0000063597- Line:4    ,       ,        ,P3A,5/30/2011,5/30/2011,   ,5900,QUO,05,0,     ,000006359740,SANITARY EQUIPMENT ( EXCL. FLOW )
0000063597,5,5/30/2011,Ord:0000063597- Line:5    ,       ,        ,P3A,7/11/2011,7/11/2011,   ,5900,QUO,05,0,     ,000006359750,SANITARY EQUIPMENT ( EXCL. FLOW )
0000063597,6,5/30/2011,Ord:0000063597- Line:6    ,       ,        ,P3A,7/11/2011,7/11/2011,   ,5900,QUO,05,0,     ,000006359760,SANITARY EQUIPMENT ( EXCL. FLOW )
0000063597,7,5/30/2011,Ord:0000063597- Line:7    ,       ,        ,P3A,7/11/2011,7/11/2011,   ,5900,QUO,05,0,     ,000006359770,SANITARY EQUIPMENT ( EXCL. FLOW )
0000063597,8,5/30/2011,Ord:0000063597- Line:8    ,       ,        ,P3A,7/11/2011,7/11/2011,   ,5900,QUO,05,0,     ,000006359780,SANITARY EQUIPMENT ( EXCL. FLOW )
0000063597,9,5/30/2011,Ord:0000063597- Line:9    ,       ,        ,P3A,7/11/2011,7/11/2011,   ,5900,QUO,05,0,     ,000006359790,SANITARY EQUIPMENT ( EXCL. FLOW )
0000063597,10,5/30/2011,Ord:0000063597- Line:10   ,       ,        ,P3A,7/11/2011,7/11/2011,   ,5900,QUO,05,0,     ,0000063597100,SANITARY EQUIPMENT ( EXCL. FLOW )
0000063597,11,5/30/2011,Ord:0000063597- Line:11   ,       ,        ,P3A,7/11/2011,7/11/2011,   ,5900,QUO,05,0,     ,0000063597110,SANITARY EQUIPMENT ( EXCL. FLOW )
0000063597,12,5/30/2011,Ord:0000063597- Line:12   ,       ,        ,P3A,7/11/2011,7/11/2011,   ,5900,QUO,05,0,     ,0000063597120,SANITARY EQUIPMENT ( EXCL. FLOW )
0000063597,13,5/30/2011,Ord:0000063597- Line:13   ,       ,        ,P3A,7/11/2011,7/11/2011,   ,5900,QUO,05,0,     ,0000063597130,SANITARY EQUIPMENT ( EXCL. FLOW )
0000063597,14,5/30/2011,Ord:0000063597- Line:14   ,       ,        ,P3A,7/11/2011,7/11/2011,   ,5900,QUO,05,0,     ,0000063597140,SANITARY EQUIPMENT ( EXCL. FLOW )
0000063597,15,5/30/2011,Ord:0000063597- Line:15   ,       ,        ,P3A,7/11/2011,7/11/2011,   ,5900,QUO,05,0,     ,0000063597150,SANITARY EQUIPMENT ( EXCL. FLOW )
0000063597,16,5/30/2011,Ord:0000063597- Line:16   ,       ,        ,P3A,7/11/2011,7/11/2011,   ,5900,QUO,05,0,     ,0000063597160,SANITARY EQUIPMENT ( EXCL. FLOW )
0000063597,17,5/30/2011,Ord:0000063597- Line:17   ,       ,        ,P3A,7/11/2011,7/11/2011,   ,5900,QUO,05,0,     ,0000063597170,SANITARY EQUIPMENT ( EXCL. FLOW )
0000063597,18,5/30/2011,Ord:0000063597- Line:18   ,       ,        ,P3A,5/30/2011,5/30/2011,   ,5900,QUO,05,0,     ,0000063597180,SANITARY EQUIPMENT ( EXCL. FLOW )
0000063597,19,5/30/2011,Ord:0000063597- Line:19   ,       ,        ,P3A,7/11/2011,7/11/2011,   ,5900,QUO,05,0,     ,0000063597190,SANITARY EQUIPMENT ( EXCL. FLOW )
0000063763,1,6/1/2011,Ord:0000063763- Line:1    ,       ,        ,P3A,6/1/2011,6/1/2011,   ,4455,QUO,05,0,     ,000006376310,PPS FOOD TECHNOLOGY
0000063763,2,6/1/2011,Ord:0000063763- Line:2    ,       ,        ,P3A,6/1/2011,6/1/2011,   ,4455,QUO,05,0,     ,000006376320,PPS FOOD TECHNOLOGY
0000063763,3,6/1/2011,Ord:0000063763- Line:3    ,       ,        ,P3A,7/25/2011,6/1/2011,   ,4455,QUO,05,0,     ,000006376330,PPS FOOD TECHNOLOGY
0000063763,4,6/1/2011,Ord:0000063763- Line:4    ,       ,        ,P3A,7/2/2011,6/1/2011,   ,4455,QUO,05,0,     ,000006376340,PPS FOOD TECHNOLOGY
0000063763,5,6/1/2011,Ord:0000063763- Line:5    ,       ,        ,P3A,6/1/2011,6/1/2011,   ,4455,QUO,05,0,     ,000006376350,PPS FOOD TECHNOLOGY
0000063763,6,6/1/2011,Ord:0000063763- Line:6    ,       ,        ,P3A,6/1/2011,6/1/2011,   ,4455,QUO,05,0,     ,000006376360,PPS FOOD TECHNOLOGY
0000063783,1,6/2/2011,Ord:0000063783- Line:1    ,       ,        ,P3A,6/2/2011,6/2/2011,   ,5900,QUO,05,0,     ,000006378310,SANITARY EQUIPMENT ( EXCL. FLOW )
0000063783,2,6/2/2011,Ord:0000063783- Line:2    ,       ,        ,P3A,6/2/2011,6/2/2011,   ,5900,QUO,05,0,     ,000006378320,SANITARY EQUIPMENT ( EXCL. FLOW )
0000063783,3,6/2/2011,Ord:0000063783- Line:3    ,       ,        ,P3A,6/2/2011,6/2/2011,   ,5900,QUO,05,0,     ,000006378330,SANITARY EQUIPMENT ( EXCL. FLOW )
0000063783,4,6/2/2011,Ord:0000063783- Line:4    ,       ,        ,P3A,6/2/2011,6/2/2011,   ,5900,QUO,05,0,     ,000006378340,SANITARY EQUIPMENT ( EXCL. FLOW )
0000063783,5,6/2/2011,Ord:0000063783- Line:5    ,       ,        ,P3A,6/2/2011,6/2/2011,   ,5900,QUO,05,0,     ,000006378350,SANITARY EQUIPMENT ( EXCL. FLOW )
0000063783,6,6/2/2011,Ord:0000063783- Line:6    ,       ,        ,P3A,6/2/2011,6/2/2011,   ,5900,QUO,05,0,     ,000006378360,SANITARY EQUIPMENT ( EXCL. FLOW )
0000063783,7,6/2/2011,Ord:0000063783- Line:7    ,       ,        ,P3A,6/2/2011,6/2/2011,   ,5900,QUO,05,0,     ,000006378370,SANITARY EQUIPMENT ( EXCL. FLOW )
0000063783,8,6/2/2011,Ord:0000063783- Line:8    ,       ,        ,P3A,6/2/2011,6/2/2011,   ,5900,QUO,05,0,     ,000006378380,SANITARY EQUIPMENT ( EXCL. FLOW )
0000063783,9,6/2/2011,Ord:0000063783- Line:9    ,       ,        ,P3A,6/2/2011,6/2/2011,   ,5900,QUO,05,0,     ,000006378390,SANITARY EQUIPMENT ( EXCL. FLOW )
0000063783,10,6/2/2011,Ord:0000063783- Line:10   ,       ,        ,P3A,6/2/2011,6/2/2011,   ,5900,QUO,05,0,     ,0000063783100,SANITARY EQUIPMENT ( EXCL. FLOW )
0000063783,11,6/2/2011,Ord:0000063783- Line:11   ,       ,        ,P3A,6/2/2011,6/2/2011,   ,5900,QUO,05,0,     ,0000063783110,SANITARY EQUIPMENT ( EXCL. FLOW )
0000063783,12,6/2/2011,Ord:0000063783- Line:12   ,       ,        ,P3A,6/2/2011,6/2/2011,   ,5900,QUO,05,0,     ,0000063783120,SANITARY EQUIPMENT ( EXCL. FLOW )
0000063830,2,6/2/2011,Ord:0000063830- Line:2    ,       ,        ,P3A,1/4/2012,6/2/2011,   ,5900,QUO,05,0,     ,000006383020,SANITARY EQUIPMENT ( EXCL. FLOW )
0000063949,1,6/6/2011,Ord:0000063949- Line:1    ,       ,        ,P3A,7/18/2011,7/18/2011,   ,5900,QUO,05,0,1977 ,000006394910,SANITARY EQUIPMENT ( EXCL. FLOW )
0000064027,1,6/7/2011,Ord:0000064027- Line:1    ,       ,        ,P3A,7/19/2011,7/19/2011,   ,5900,QUO,05,0,1977 ,000006402710,SANITARY EQUIPMENT ( EXCL. FLOW )
0000064027,2,6/7/2011,Ord:0000064027- Line:2    ,       ,        ,P3A,7/19/2011,7/19/2011,   ,5900,QUO,05,0,1977 ,000006402720,SANITARY EQUIPMENT ( EXCL. FLOW )
0000064027,3,6/7/2011,Ord:0000064027- Line:3    ,       ,        ,P3A,7/19/2011,7/19/2011,   ,5900,QUO,05,0,1977 ,000006402730,SANITARY EQUIPMENT ( EXCL. FLOW )
0000064027,4,6/7/2011,Ord:0000064027- Line:4    ,       ,        ,P3A,7/19/2011,7/19/2011,   ,5900,QUO,05,0,1977 ,000006402740,SANITARY EQUIPMENT ( EXCL. FLOW )
0000064027,5,6/7/2011,Ord:0000064027- Line:5    ,       ,        ,P3A,7/19/2011,7/19/2011,   ,5900,QUO,05,0,1977 ,000006402750,SANITARY EQUIPMENT ( EXCL. FLOW )
0000064027,6,6/7/2011,Ord:0000064027- Line:6    ,       ,        ,P3A,7/19/2011,7/19/2011,   ,5900,QUO,05,0,1977 ,000006402760,SANITARY EQUIPMENT ( EXCL. FLOW )
0000064027,7,6/7/2011,Ord:0000064027- Line:7    ,       ,        ,P3A,7/19/2011,7/19/2011,   ,5900,QUO,05,0,1977 ,000006402770,SANITARY EQUIPMENT ( EXCL. FLOW )
0000064027,8,6/7/2011,Ord:0000064027- Line:8    ,       ,        ,P3A,7/19/2011,7/19/2011,   ,5900,QUO,05,0,1977 ,000006402780,SANITARY EQUIPMENT ( EXCL. FLOW )
0000064027,9,6/7/2011,Ord:0000064027- Line:9    ,       ,        ,P3A,7/19/2011,7/19/2011,   ,5900,QUO,05,0,1977 ,000006402790,SANITARY EQUIPMENT ( EXCL. FLOW )
0000064027,10,6/7/2011,Ord:0000064027- Line:10   ,       ,        ,P3A,7/19/2011,7/19/2011,   ,5900,QUO,05,0,1977 ,0000064027100,SANITARY EQUIPMENT ( EXCL. FLOW )
0000064027,11,6/7/2011,Ord:0000064027- Line:11   ,       ,        ,P3A,7/19/2011,7/19/2011,   ,5900,QUO,05,0,1977 ,0000064027110,SANITARY EQUIPMENT ( EXCL. FLOW )
0000064027,12,6/7/2011,Ord:0000064027- Line:12   ,       ,        ,P3A,7/19/2011,7/19/2011,   ,5900,QUO,05,0,1977 ,0000064027120,SANITARY EQUIPMENT ( EXCL. FLOW )
0000064027,13,6/7/2011,Ord:0000064027- Line:13   ,       ,        ,P3A,7/19/2011,7/19/2011,   ,5900,QUO,05,0,1977 ,0000064027130,SANITARY EQUIPMENT ( EXCL. FLOW )
0000064027,14,6/7/2011,Ord:0000064027- Line:14   ,       ,        ,P3A,7/19/2011,7/19/2011,   ,5900,QUO,05,0,1977 ,0000064027140,SANITARY EQUIPMENT ( EXCL. FLOW )
0000064027,15,6/7/2011,Ord:0000064027- Line:15   ,       ,        ,P3A,7/19/2011,7/19/2011,   ,5900,QUO,05,0,1977 ,0000064027150,SANITARY EQUIPMENT ( EXCL. FLOW )
0000064027,16,6/7/2011,Ord:0000064027- Line:16   ,       ,        ,P3A,7/19/2011,7/19/2011,   ,5900,QUO,05,0,1977 ,0000064027160,SANITARY EQUIPMENT ( EXCL. FLOW )
0000064027,17,6/7/2011,Ord:0000064027- Line:17   ,       ,        ,P3A,7/19/2011,7/19/2011,   ,5900,QUO,05,0,1977 ,0000064027170,SANITARY EQUIPMENT ( EXCL. FLOW )
0000064027,18,6/7/2011,Ord:0000064027- Line:18   ,       ,        ,P3A,7/19/2011,7/19/2011,   ,5900,QUO,05,0,1977 ,0000064027180,SANITARY EQUIPMENT ( EXCL. FLOW )
0000064027,19,6/7/2011,Ord:0000064027- Line:19   ,       ,        ,P3A,7/19/2011,7/19/2011,   ,5900,QUO,05,0,1977 ,0000064027190,SANITARY EQUIPMENT ( EXCL. FLOW )
0000064027,20,6/7/2011,Ord:0000064027- Line:20   ,       ,        ,P3A,7/19/2011,7/19/2011,   ,5900,QUO,05,0,1977 ,0000064027200,SANITARY EQUIPMENT ( EXCL. FLOW )
0000064060,1,6/7/2011,Ord:0000064060- Line:1    ,       ,        ,P3A,6/7/2011,6/7/2011,   ,5900,QUO,05,0,1977 ,000006406010,SANITARY EQUIPMENT ( EXCL. FLOW )
0000064060,2,6/7/2011,Ord:0000064060- Line:2    ,       ,        ,P3A,6/7/2011,6/7/2011,   ,5900,QUO,05,0,1977 ,000006406020,SANITARY EQUIPMENT ( EXCL. FLOW )
0000064060,3,6/7/2011,Ord:0000064060- Line:3    ,       ,        ,P3A,7/19/2011,7/19/2011,   ,5900,QUO,05,0,1977 ,000006406030,SANITARY EQUIPMENT ( EXCL. FLOW )
0000064060,4,6/7/2011,Ord:0000064060- Line:4    ,       ,        ,P3A,6/7/2011,6/7/2011,   ,5900,QUO,05,0,     ,000006406040,SANITARY EQUIPMENT ( EXCL. FLOW )
0000064276,1,6/13/2011,Ord:0000064276- Line:1    ,       ,        ,P3A,6/13/2011,6/13/2011,   ,5900,QUO,05,0,     ,000006427610,SANITARY EQUIPMENT ( EXCL. FLOW )
0000064276,2,6/13/2011,Ord:0000064276- Line:2    ,       ,        ,P3A,7/25/2011,7/25/2011,   ,5900,QUO,05,0,     ,000006427620,SANITARY EQUIPMENT ( EXCL. FLOW )
0000064464,1,6/16/2011,Ord:0000064464- Line:1    ,       ,        ,P3A,6/16/2011,6/16/2011,   ,5900,QUO,05,0,     ,000006446410,SANITARY EQUIPMENT ( EXCL. FLOW )
0000064464,2,6/16/2011,Ord:0000064464- Line:2    ,       ,        ,P3A,6/16/2011,6/16/2011,   ,5900,QUO,05,0,     ,000006446420,SANITARY EQUIPMENT ( EXCL. FLOW )
0000064464,3,6/16/2011,Ord:0000064464- Line:3    ,       ,        ,P3A,6/16/2011,6/16/2011,   ,5900,QUO,05,0,     ,000006446430,SANITARY EQUIPMENT ( EXCL. FLOW )
0000064464,4,6/16/2011,Ord:0000064464- Line:4    ,       ,        ,P3A,6/16/2011,6/16/2011,   ,5900,QUO,05,0,     ,000006446440,SANITARY EQUIPMENT ( EXCL. FLOW )
0000064496,1,6/16/2011,Ord:0000064496- Line:1    ,       ,        ,P3A,6/16/2011,6/16/2011,   ,5900,QUO,05,0,     ,000006449610,SANITARY EQUIPMENT ( EXCL. FLOW )
0000064496,2,6/16/2011,Ord:0000064496- Line:2    ,       ,        ,P3A,7/28/2011,7/28/2011,   ,5900,QUO,05,0,     ,000006449620,SANITARY EQUIPMENT ( EXCL. FLOW )
0000064496,3,6/16/2011,Ord:0000064496- Line:3    ,       ,        ,P3A,7/28/2011,7/28/2011,   ,5900,QUO,05,0,     ,000006449630,SANITARY EQUIPMENT ( EXCL. FLOW )
0000064496,4,6/16/2011,Ord:0000064496- Line:4    ,       ,        ,P3A,7/28/2011,7/28/2011,   ,5900,QUO,05,0,     ,000006449640,SANITARY EQUIPMENT ( EXCL. FLOW )
0000064496,5,6/16/2011,Ord:0000064496- Line:5    ,       ,        ,P3A,7/28/2011,7/28/2011,   ,5900,QUO,05,0,     ,000006449650,SANITARY EQUIPMENT ( EXCL. FLOW )
0000064496,6,6/16/2011,Ord:0000064496- Line:6    ,       ,        ,P3A,7/28/2011,7/28/2011,   ,5900,QUO,05,0,     ,000006449660,SANITARY EQUIPMENT ( EXCL. FLOW )
0000064646,1,6/20/2011,Ord:0000064646- Line:1    ,       ,        ,P3A,6/20/2011,6/20/2011,   ,5900,QUO,05,0,     ,000006464610,SANITARY EQUIPMENT ( EXCL. FLOW )
0000064646,2,6/20/2011,Ord:0000064646- Line:2    ,       ,        ,P3A,6/20/2011,6/20/2011,   ,5900,QUO,05,0,     ,000006464620,SANITARY EQUIPMENT ( EXCL. FLOW )
0000064646,3,6/20/2011,Ord:0000064646- Line:3    ,       ,        ,P3A,6/20/2011,6/20/2011,   ,5900,QUO,05,0,     ,000006464630,SANITARY EQUIPMENT ( EXCL. FLOW )
0000064646,4,6/20/2011,Ord:0000064646- Line:4    ,       ,        ,P3A,6/20/2011,6/20/2011,   ,5900,QUO,05,0,     ,000006464640,SANITARY EQUIPMENT ( EXCL. FLOW )
0000064646,5,6/20/2011,Ord:0000064646- Line:5    ,       ,        ,P3A,8/1/2011,8/1/2011,   ,5900,QUO,05,0,     ,000006464650,SANITARY EQUIPMENT ( EXCL. FLOW )
0000064683,2,6/20/2011,Ord:0000064683- Line:2    ,       ,        ,P3A,6/20/2011,6/20/2011,   ,5900,QUO,05,0,1977 ,000006468320,SANITARY EQUIPMENT ( EXCL. FLOW )
0000064683,3,6/20/2011,Ord:0000064683- Line:3    ,       ,        ,P3A,6/20/2011,6/20/2011,   ,5900,QUO,05,0,     ,000006468330,SANITARY EQUIPMENT ( EXCL. FLOW )
0000064921,1,6/24/2011,Ord:0000064921- Line:1    ,       ,        ,P3A,8/5/2011,8/5/2011,   ,5900,QUO,05,0,     ,000006492110,SANITARY EQUIPMENT ( EXCL. FLOW )
0000064921,2,6/24/2011,Ord:0000064921- Line:2    ,       ,        ,P3A,8/5/2011,8/5/2011,   ,5900,QUO,05,0,     ,000006492120,SANITARY EQUIPMENT ( EXCL. FLOW )
0000064921,3,6/24/2011,Ord:0000064921- Line:3    ,       ,        ,P3A,8/5/2011,8/5/2011,   ,5900,QUO,05,0,     ,000006492130,SANITARY EQUIPMENT ( EXCL. FLOW )
0000064921,4,6/24/2011,Ord:0000064921- Line:4    ,       ,        ,P3A,8/5/2011,8/5/2011,   ,5900,QUO,05,0,     ,000006492140,SANITARY EQUIPMENT ( EXCL. FLOW )
0000064921,5,6/24/2011,Ord:0000064921- Line:5    ,       ,        ,P3A,8/5/2011,8/5/2011,   ,5900,QUO,05,0,     ,000006492150,SANITARY EQUIPMENT ( EXCL. FLOW )
0000064921,6,6/24/2011,Ord:0000064921- Line:6    ,       ,        ,P3A,8/5/2011,8/5/2011,   ,5900,QUO,05,0,     ,000006492160,SANITARY EQUIPMENT ( EXCL. FLOW )
0000064921,7,6/24/2011,Ord:0000064921- Line:7    ,       ,        ,P3A,8/5/2011,8/5/2011,   ,5900,QUO,05,0,     ,000006492170,SANITARY EQUIPMENT ( EXCL. FLOW )
0000064921,8,6/24/2011,Ord:0000064921- Line:8    ,       ,        ,P3A,8/5/2011,8/5/2011,   ,5900,QUO,05,0,     ,000006492180,SANITARY EQUIPMENT ( EXCL. FLOW )
0000064921,9,6/24/2011,Ord:0000064921- Line:9    ,       ,        ,P3A,8/5/2011,8/5/2011,   ,5900,QUO,05,0,     ,000006492190,SANITARY EQUIPMENT ( EXCL. FLOW )
0000064921,10,6/24/2011,Ord:0000064921- Line:10   ,       ,        ,P3A,8/5/2011,8/5/2011,   ,5900,QUO,05,0,     ,0000064921100,SANITARY EQUIPMENT ( EXCL. FLOW )
0000064921,11,6/24/2011,Ord:0000064921- Line:11   ,       ,        ,P3A,8/5/2011,8/5/2011,   ,5900,QUO,05,0,     ,0000064921110,SANITARY EQUIPMENT ( EXCL. FLOW )
0000064921,12,6/24/2011,Ord:0000064921- Line:12   ,       ,        ,P3A,8/5/2011,8/5/2011,   ,5900,QUO,05,0,     ,0000064921120,SANITARY EQUIPMENT ( EXCL. FLOW )
